,,,,,,,,,,1338235.161
Material Issue Date,Issued To Code,Item Code,Item Desc.,Item Group,Item Category,Item Type,Issue Qty,Base UOM,Landed Rate,Landed Amount
18-10-2022,LIUGONG,CT20078,"FLAP DISC WHEEL 4""",SMP,Punch,Consumables,10,NO,21,210
18-10-2022,LIUGONG,CO40021,COTTON WASTE,SMP,Welding item,Consumables,1,Kg,42,42
18-10-2022,LIUGONG,CO40025,HAND GLOVES COTTON,SMP,Welding item,Consumables,10,SET,7,70
18-10-2022,LIUGONG,CC30056,SKF GREASE MULTY PURPOSE,SMP,CE01,Purchase Items,8,Ltr,150,"1,200.00"
18-10-2022,LIUGONG,CS50374,CUTTING WHEEL 4'',SMP,Punch,Consumables,10,NOS,13,130
18-10-2022,LIUGONG,CS5106411,Grinding Wheel 4 inch,SMP,SP01,Store Item,10,NOS,34,340
18-10-2022,LIUGONG,CO40024,WHITE GLASS,SMP,Welding item,Consumables,100,NO,2.5,250
18-10-2022,LIUGONG,CS50950,PU CONECTOR 12X12STATE,SMP,SP01,Store Item,4,NOS,21.7,86.8
19-10-2022,LIUGONG,CO40033,ABRO TAP 25 MM,SMP,Welding item,Consumables,8,NO,20,160
20-10-2022,LIUGONG,SSM0000508,ABRO TAPE 2',SMP,OT01,Store Item,3,NO,40,120
20-10-2022,LIUGONG,CS50931,INSULATION TUBE PANASONIC,SMPC,Welding item,Consumables,1,NOS,185,185
20-10-2022,LIUGONG,CO40021,COTTON WASTE,SMP,Welding item,Consumables,1,Kg,42,42
20-10-2022,LIUGONG,CS50924,TIP HOLDER 600 AMP PANASONIC,CO,SP01,Store Item,1,Kg,220,220
20-10-2022,LIUGONG,CO40038,WHITE BOARD MARKER,SMP,Stationary C,Stationery,1,NO,18,18
20-10-2022,LIUGONG,CO400210,ADHESIVE TESTING KNIFE,SMP,OT01,Store Item,1,NOS,30,30
20-10-2022,LIUGONG,CP60014,PROFILE 3MM (FOAM),SMP,Stationary C,Consumables,5,Mtr,21,105
20-10-2022,LIUGONG,CO40017,"CELLO TAP 2""",SMP,Stationary C,Stationery,3,NO,25,75
20-10-2022,LIUGONG,55A4946,BUSHING,SMP,SFG,Semi-finished Goods,20,NOS,348,"6,960.00"
20-10-2022,LIUGONG,CC30090,ACM(Ar-80% & CO2-20%) ARGON,SMP,GAS,Consumables,4,NO,599.5,"2,398.00"
21-10-2022,LIUGONG,CO40059,CO2 MIG WIRE 1.20,SMP,FCI,Consumables,90,Kg,97,"8,730.00"
21-10-2022,LIUGONG,55A1387,BUSHING,SMP,SFG,Semi-finished Goods,34,NOS,600,"20,400.00"
21-10-2022,LIUGONG,CS50374,CUTTING WHEEL 4'',SMP,Punch,Consumables,10,NOS,13,130
21-10-2022,LIUGONG,CS5106411,Grinding Wheel 4 inch,SMP,SP01,Store Item,17,NOS,34,578
21-10-2022,LIUGONG,ST00000015,"GRINDING WHEEL 7"" Bosch",SMP,Punch,Consumables,7,NO,72,504
21-10-2022,LIUGONG,CO40021,COTTON WASTE,SMP,Welding item,Consumables,1,Kg,40,40
21-10-2022,LIUGONG,CT20078,"FLAP DISC WHEEL 4""",SMP,Punch,Consumables,10,NO,21,210
21-10-2022,LIUGONG,CS50282,"SANDING PAPER 5"" 320 GRIT",SMP,SP01,Store Item,200,NO,20,"4,000.00"
21-10-2022,LIUGONG,CS50785,SANDING PAPER 80 GRIT 5'',SMP,SP01,Store Item,200,NOS,20,"4,000.00"
21-10-2022,LIUGONG,CO40021,COTTON WASTE,SMP,Welding item,Consumables,1,Kg,40,40
21-10-2022,LIUGONG,CO40025,HAND GLOVES COTTON,SMP,Welding item,Consumables,2,SET,7,14
21-10-2022,LIUGONG,SPCB000029,INMH 201218_GP Top Coat Paint Hardner,SMP,CE01,Store Item,4,Ltr,469,"1,876.00"
22-10-2022,LIUGONG,CO40021,COTTON WASTE,SMP,Welding item,Consumables,1,Kg,40,40
22-10-2022,LIUGONG,CO40610,PENCIL,SMP,OT01,Stationery,1,NOS,5,5
23-10-2022,LIUGONG,CC30090,ACM(Ar-80% & CO2-20%) ARGON,SMP,GAS,Consumables,4,NO,599.5,"2,398.00"
27-10-2022,LIUGONG,CS50374,CUTTING WHEEL 4'',SMP,Punch,Consumables,16,NOS,13,208
27-10-2022,LIUGONG,CS50374,CUTTING WHEEL 4'',SMP,Punch,Consumables,14,NOS,13,182
27-10-2022,LIUGONG,CS5106411,Grinding Wheel 4 inch,SMP,SP01,Store Item,4,NOS,34,136
27-10-2022,LIUGONG,CO40019,WHITE GOGLES,SMP,Welding item,Consumables,2,NO,17,34
27-10-2022,LIUGONG,SSMB000826,ESSAB TIP (1.6MM),SMP,MCSP,Store Item,1,SET,204,204
27-10-2022,LIUGONG,CS510603,INSULATER 36 KD,SMP,SP01,Store Item,1,NO,32,32
27-10-2022,LIUGONG,CO40021,COTTON WASTE,SMP,Welding item,Consumables,1,Kg,40,40
27-10-2022,LIUGONG,CO40025,HAND GLOVES COTTON,SMP,Welding item,Consumables,0.5,SET,7,3.5
27-10-2022,LIUGONG,CS50007,ADOR TIP HOLDER 1.20,SMP,Welding item,Consumables,10,NO,38,380
15-10-2022,PROJECT,CS50855,"MS TEE SIZE 1""",SMP,SP01,Store Item,3,NOS,246.75,740.25
